course,institution,cluster_number,cutoff_points,year
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",TOM MBOYA UNIVERSITY,8,25.271,2018
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",TOM MBOYA UNIVERSITY,8,24.09,2019
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",TOM MBOYA UNIVERSITY,8,16.9,2020
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",TOM MBOYA UNIVERSITY,8,16.787,2021
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",TOM MBOYA UNIVERSITY,8,15.982,2022
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",TOM MBOYA UNIVERSITY,8,15.683,2023
BACHELOR OF SCIENCE (MATHEMATICS),RONGO UNIVERSITY,9,24.494,2018
BACHELOR OF SCIENCE (MATHEMATICS),RONGO UNIVERSITY,9,23.755,2019
BACHELOR OF SCIENCE (MATHEMATICS),RONGO UNIVERSITY,9,20.048,2020
BACHELOR OF SCIENCE (MATHEMATICS),RONGO UNIVERSITY,9,20.1,2021
BACHELOR OF SCIENCE (MATHEMATICS),RONGO UNIVERSITY,9,19.914,2022
BACHELOR OF SCIENCE (MATHEMATICS),RONGO UNIVERSITY,9,18.831,2023
BACHELOR OF SCIENCE IN MATHEMATICS,CHUKA UNIVERSITY,9,27.851,2018
BACHELOR OF SCIENCE IN MATHEMATICS,CHUKA UNIVERSITY,9,30.614,2019
BACHELOR OF SCIENCE IN MATHEMATICS,CHUKA UNIVERSITY,9,24.008,2020
BACHELOR OF SCIENCE IN MATHEMATICS,CHUKA UNIVERSITY,9,24.917,2021
BACHELOR OF SCIENCE IN MATHEMATICS,CHUKA UNIVERSITY,9,19.914,2022
BACHELOR OF SCIENCE IN MATHEMATICS,CHUKA UNIVERSITY,9,23.741,2023
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",TOM MBOYA UNIVERSITY,9,23.753,2018
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",TOM MBOYA UNIVERSITY,9,23.835,2019
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",TOM MBOYA UNIVERSITY,9,20.048,2020
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",TOM MBOYA UNIVERSITY,9,20.1,2021
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",TOM MBOYA UNIVERSITY,9,19.914,2022
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",TOM MBOYA UNIVERSITY,9,18.831,2023
"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",MASENO UNIVERSITY,9,22.338,2024
BACHELOR OF SCIENCE (MATHEMATICS),UNIVERSITY OF NAIROBI,9,29.054,2024
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF EMBU,11,27.942,2018
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF EMBU,11,27.798,2019
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF EMBU,11,16.791,2020
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF EMBU,11,17.459,2021
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF EMBU,11,16.974,2022
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF EMBU,11,15.683,2023
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,11,24.668,2018
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,11,24.763,2019
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,11,16.791,2020
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,11,17.459,2021
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,11,16.974,2022
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,11,15.683,2023
BACHELOR OF SCIENCE IN BIOLOGY ( BOTANY OR ZOOLOGY OPTION),KISII UNIVERSITY,11,24.317,2019
BACHELOR OF SCIENCE IN BIOLOGY ( BOTANY OR ZOOLOGY OPTION),KISII UNIVERSITY,11,16.974,2022
BACHELOR OF SCIENCE IN BIOLOGY ( BOTANY OR ZOOLOGY OPTION),KISII UNIVERSITY,11,15.683,2023
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,27.735,2018
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,26.2,2019
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,16.791,2020
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,17.459,2021
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,16.974,2022
BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,11,15.683,2023
BACHELOR OF SCIENCE (BIOCHEMISTRY),CHUKA UNIVERSITY,12,26.26,2018
BACHELOR OF SCIENCE (BIOCHEMISTRY),CHUKA UNIVERSITY,12,24.633,2019
BACHELOR OF SCIENCE (BIOCHEMISTRY),CHUKA UNIVERSITY,12,24.828,2020
BACHELOR OF SCIENCE (BIOCHEMISTRY),CHUKA UNIVERSITY,12,17.459,2021
BACHELOR OF SCIENCE (BIOCHEMISTRY),CHUKA UNIVERSITY,12,16.974,2022
BACHELOR OF SCIENCE (BIOCHEMISTRY),CHUKA UNIVERSITY,12,15.683,2023
BACHELOR OF SCIENCE (BIOCHEMISTRY),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,12,23.624,2024
BACHELOR OF SCIENCE IN BIOCHEMISTRY,TECHNICAL UNIVERSITY OF MOMBASA,12,28.247,2019
BACHELOR OF SCIENCE IN BIOCHEMISTRY,TECHNICAL UNIVERSITY OF MOMBASA,12,26.724,2020
BACHELOR OF SCIENCE IN BIOCHEMISTRY,TECHNICAL UNIVERSITY OF MOMBASA,12,17.459,2021
BACHELOR OF SCIENCE IN BIOCHEMISTRY,TECHNICAL UNIVERSITY OF MOMBASA,12,16.974,2022
BACHELOR OF SCIENCE IN BIOCHEMISTRY,TECHNICAL UNIVERSITY OF MOMBASA,12,15.683,2023
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,24.367,2018
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,28.15,2019
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,28.674,2020
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,28.679,2021
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,16.974,2022
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,30.294,2023
"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",MASENO UNIVERSITY,12,28.777,2024
BACHELOR OF SCIENCE IN BIOCHEMISTRY,UNIVERSITY OF ELDORET,12,26.588,2018
BACHELOR OF SCIENCE (BIOCHEMISTRY,LAIKIPIA UNIVERSITY,12,27.062,2018
BACHELOR OF SCIENCE (BIOCHEMISTRY,LAIKIPIA UNIVERSITY,12,26.125,2019
BACHELOR OF SCIENCE (BIOCHEMISTRY,LAIKIPIA UNIVERSITY,12,16.791,2020
BACHELOR OF SCIENCE (BIOCHEMISTRY,LAIKIPIA UNIVERSITY,12,17.459,2021
BACHELOR OF SCIENCE (BIOCHEMISTRY,LAIKIPIA UNIVERSITY,12,16.974,2022
BACHELOR OF SCIENCE (BIOCHEMISTRY,LAIKIPIA UNIVERSITY,12,15.683,2023
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF EMBU,14,24.389,2018
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF EMBU,14,24.67,2019
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF EMBU,14,16.9,2020
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF EMBU,14,16.787,2021
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF EMBU,14,15.982,2022
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),UNIVERSITY OF EMBU,14,15.683,2023
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,TAITA TAVETA UNIVERSITY,14,25.056,2018
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,TAITA TAVETA UNIVERSITY,14,26.716,2019
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,TAITA TAVETA UNIVERSITY,14,16.9,2020
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,TAITA TAVETA UNIVERSITY,14,16.787,2021
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,TAITA TAVETA UNIVERSITY,14,15.982,2022
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,TAITA TAVETA UNIVERSITY,14,15.683,2023
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,UNIVERSITY OF ELDORET,14,29.751,2018
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,UNIVERSITY OF ELDORET,14,29.251,2019
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,UNIVERSITY OF ELDORET,14,16.9,2020
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,UNIVERSITY OF ELDORET,14,16.787,2021
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,UNIVERSITY OF ELDORET,14,15.982,2022
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,UNIVERSITY OF ELDORET,14,15.683,2023
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),KENYATTA UNIVERSITY,14,34.178,2018
